player_id,item_id,item_type,purchase_date,amount
PSN-00004,G006,full_game,2025-09-10,34.99
PSN-00004,G024,full_game,2025-10-28,25.0
PSN-00004,G019,mtx,2025-10-21,24.99
PSN-00004,G020,mtx,2025-08-28,24.99
PSN-00004,G020,mtx,2025-02-15,4.99
PSN-00005,G026,full_game,2025-06-16,12.5
PSN-00008,G014,full_game,2024-07-31,48.99
PSN-00008,G011,full_game,2024-01-21,69.99
PSN-00008,G025,full_game,2025-09-07,7.5
PSN-00008,D011,dlc_paid,2024-02-02,29.99
PSN-00008,D012,dlc_free,2025-06-15,0.0
PSN-00008,G020,mtx,2024-06-03,19.99
PSN-00008,G020,mtx,2025-01-28,4.99
PSN-00008,G020,mtx,2024-02-23,4.99
PSN-00008,G020,mtx,2024-02-06,4.99
PSN-00009,G030,full_game,2024-06-14,9.99
PSN-00010,G026,full_game,2025-07-10,12.5
PSN-00013,G016,full_game,2025-01-31,34.99
PSN-00015,D011,dlc_paid,2024-03-21,29.99
PSN-00017,G006,full_game,2025-01-01,34.99
PSN-00017,G011,full_game,2024-02-15,69.99
PSN-00017,G002,full_game,2025-06-21,34.99
PSN-00017,G029,full_game,2025-08-21,12.5
PSN-00017,D002,dlc_paid,2024-02-09,19.99
PSN-00017,D003,dlc_free,2025-01-19,0.0
PSN-00017,D012,dlc_free,2025-08-02,0.0
PSN-00017,D013,dlc_paid,2024-01-28,9.99
PSN-00017,G019,mtx,2025-06-28,4.99
PSN-00017,G019,mtx,2025-09-17,4.99
PSN-00017,G019,mtx,2024-12-10,24.99
PSN-00017,G019,mtx,2025-10-30,24.99
PSN-00017,G019,mtx,2024-12-14,9.99
PSN-00017,G020,mtx,2025-04-14,9.99
PSN-00017,G020,mtx,2025-07-26,9.99
PSN-00017,G020,mtx,2024-03-10,4.99
PSN-00017,G020,mtx,2024-09-22,4.99
PSN-00017,G020,mtx,2025-06-12,4.99
PSN-00017,G020,mtx,2024-03-25,9.99
PSN-00017,G020,mtx,2025-05-16,9.99
PSN-00018,G003,full_game,2025-08-27,34.99
PSN-00019,G007,full_game,2025-12-18,34.99
PSN-00019,G005,full_game,2025-08-23,34.99
PSN-00020,D012,dlc_free,2024-08-06,0.0
PSN-00021,G011,full_game,2025-07-17,34.99
PSN-00021,G019,mtx,2024-03-28,19.99
PSN-00022,G018,full_game,2025-08-21,30.0
PSN-00022,G023,full_game,2025-06-27,25.0
PSN-00022,D013,dlc_paid,2025-08-01,9.99
PSN-00022,G020,mtx,2025-10-26,9.99
PSN-00024,G017,full_game,2025-10-29,34.99
PSN-00025,D010,dlc_free,2024-05-27,0.0
PSN-00026,G022,full_game,2025-05-07,34.99
PSN-00026,D005,dlc_paid,2024-02-11,9.99
PSN-00026,D006,dlc_paid,2024-06-11,19.99
PSN-00027,G005,full_game,2025-09-28,34.99
PSN-00027,G008,full_game,2024-11-05,59.99
PSN-00027,G014,full_game,2024-11-01,34.99
PSN-00027,D007,dlc_paid,2024-12-10,39.99
PSN-00027,D008,dlc_paid,2024-03-14,9.99
PSN-00027,D010,dlc_free,2024-08-25,0.0
PSN-00027,D012,dlc_free,2024-11-23,0.0
PSN-00027,G019,mtx,2025-09-06,24.99
PSN-00027,G019,mtx,2025-11-14,4.99
PSN-00028,G002,full_game,2025-03-06,34.99
PSN-00028,G021,full_game,2024-08-02,30.0
PSN-00028,D003,dlc_free,2025-08-18,0.0
PSN-00028,D005,dlc_paid,2024-01-14,9.99
PSN-00028,D006,dlc_paid,2024-05-04,19.99
PSN-00028,D010,dlc_free,2024-03-17,0.0
PSN-00028,G019,mtx,2024-08-27,4.99
PSN-00028,G019,mtx,2024-07-14,24.99
PSN-00031,G009,full_game,2025-08-21,20.0
PSN-00031,D008,dlc_paid,2025-05-30,9.99
PSN-00031,D009,dlc_paid,2025-03-25,9.99
PSN-00032,G030,full_game,2025-03-17,9.99
PSN-00032,G012,full_game,2025-08-16,34.99
PSN-00032,D002,dlc_paid,2024-01-03,19.99
PSN-00032,D010,dlc_free,2024-09-05,0.0
PSN-00032,D012,dlc_free,2024-12-30,0.0
PSN-00032,G020,mtx,2024-03-10,19.99
PSN-00032,G020,mtx,2024-09-28,9.99
PSN-00032,G020,mtx,2024-02-19,19.99
PSN-00033,D005,dlc_paid,2024-03-10,9.99
PSN-00033,G019,mtx,2024-01-12,4.99
PSN-00034,G022,full_game,2024-05-31,34.99
PSN-00034,D001,dlc_free,2025-07-23,0.0
PSN-00035,G024,full_game,2025-12-13,25.0
PSN-00035,G012,full_game,2024-05-27,48.99
PSN-00035,D001,dlc_free,2024-10-31,0.0
PSN-00035,D002,dlc_paid,2024-01-03,19.99
PSN-00035,D007,dlc_paid,2024-12-09,39.99
PSN-00035,D008,dlc_paid,2024-03-21,9.99
PSN-00035,D009,dlc_paid,2024-08-01,9.99
PSN-00035,D011,dlc_paid,2024-03-22,29.99
PSN-00035,G019,mtx,2024-10-22,4.99
PSN-00036,D008,dlc_paid,2024-03-24,9.99
PSN-00036,D009,dlc_paid,2024-06-27,9.99
PSN-00038,G021,full_game,2025-08-28,30.0
PSN-00038,D005,dlc_paid,2024-01-31,9.99
PSN-00038,D007,dlc_paid,2024-10-23,39.99
PSN-00038,D010,dlc_free,2024-11-04,0.0
PSN-00039,G020,mtx,2024-09-20,9.99
PSN-00039,G020,mtx,2025-01-07,4.99
PSN-00043,D009,dlc_paid,2024-07-20,9.99
PSN-00043,G020,mtx,2024-07-25,4.99
PSN-00043,G020,mtx,2025-11-14,9.99
PSN-00045,D005,dlc_paid,2024-01-24,9.99
PSN-00046,G010,full_game,2025-11-23,34.99
PSN-00047,G006,full_game,2025-06-22,34.99
PSN-00047,D001,dlc_free,2024-06-24,0.0
PSN-00047,D004,dlc_paid,2024-09-02,39.99
PSN-00049,G020,mtx,2024-11-04,4.99
PSN-00049,G020,mtx,2025-02-17,9.99
PSN-00049,G020,mtx,2024-06-04,19.99
PSN-00051,G002,full_game,2024-03-17,69.99
PSN-00051,G001,full_game,2024-06-11,34.99
PSN-00051,G009,full_game,2025-03-30,20.0
PSN-00051,G024,full_game,2024-02-20,25.0
PSN-00051,D001,dlc_free,2024-11-18,0.0
PSN-00051,D003,dlc_free,2025-09-04,0.0
PSN-00051,D010,dlc_free,2025-02-18,0.0
PSN-00051,D012,dlc_free,2025-11-18,0.0
PSN-00051,D013,dlc_paid,2024-01-22,9.99
PSN-00051,G019,mtx,2025-03-30,19.99
PSN-00051,G019,mtx,2024-01-09,9.99
PSN-00051,G019,mtx,2024-03-08,9.99
PSN-00051,G019,mtx,2025-08-27,9.99
PSN-00051,G019,mtx,2025-07-27,19.99
PSN-00051,G019,mtx,2025-06-12,24.99
PSN-00053,G025,full_game,2024-01-11,7.5
PSN-00053,G011,full_game,2025-06-15,34.99
PSN-00053,G029,full_game,2024-02-29,12.5
PSN-00053,D012,dlc_free,2024-06-09,0.0
PSN-00056,G016,full_game,2024-12-19,34.99
PSN-00056,D003,dlc_free,2025-02-16,0.0
PSN-00056,D012,dlc_free,2025-09-02,0.0
PSN-00056,G020,mtx,2025-05-25,24.99
PSN-00056,G020,mtx,2025-04-01,4.99
PSN-00057,D006,dlc_paid,2024-07-01,19.99
PSN-00058,G026,full_game,2024-08-23,12.5
PSN-00058,G003,full_game,2025-04-21,34.99
PSN-00058,D002,dlc_paid,2024-03-23,19.99
PSN-00058,G020,mtx,2024-03-11,4.99
PSN-00059,G011,full_game,2025-12-19,34.99
PSN-00059,G007,full_game,2025-01-07,34.99
PSN-00059,D001,dlc_free,2024-02-23,0.0
PSN-00059,G019,mtx,2024-09-01,19.99
PSN-00059,G019,mtx,2025-01-06,4.99
PSN-00059,G019,mtx,2025-08-06,19.99
PSN-00059,G020,mtx,2024-11-19,4.99
PSN-00059,G020,mtx,2024-04-03,9.99
PSN-00059,G020,mtx,2025-11-23,4.99
PSN-00059,G020,mtx,2024-09-16,4.99
PSN-00060,G002,full_game,2024-09-25,48.99
PSN-00060,D003,dlc_free,2025-10-05,0.0
PSN-00061,G011,full_game,2024-12-02,34.99
PSN-00062,G020,mtx,2025-06-05,4.99
PSN-00062,G020,mtx,2024-10-23,4.99
PSN-00062,G020,mtx,2025-02-01,19.99
PSN-00064,G017,full_game,2024-07-09,34.99
PSN-00065,D005,dlc_paid,2024-02-02,9.99
PSN-00067,G001,full_game,2024-07-22,34.99
PSN-00067,D001,dlc_free,2025-10-15,0.0
PSN-00067,D003,dlc_free,2024-10-08,0.0
PSN-00067,D005,dlc_paid,2024-01-30,9.99
PSN-00068,G004,full_game,2025-11-13,34.99
PSN-00068,G003,full_game,2024-03-09,34.99
PSN-00068,D002,dlc_paid,2024-02-17,19.99
PSN-00068,D003,dlc_free,2025-04-16,0.0
PSN-00068,D008,dlc_paid,2024-03-30,9.99
PSN-00068,D009,dlc_paid,2024-05-25,9.99
PSN-00068,D010,dlc_free,2025-09-18,0.0
PSN-00068,D013,dlc_paid,2024-03-25,9.99
PSN-00068,G019,mtx,2024-11-25,9.99
PSN-00068,G019,mtx,2024-06-28,19.99
PSN-00069,D007,dlc_paid,2024-11-14,39.99
PSN-00070,D001,dlc_free,2025-11-08,0.0
PSN-00071,G026,full_game,2025-10-20,12.5
PSN-00073,G027,full_game,2025-05-09,30.0
PSN-00073,G028,full_game,2025-03-08,20.0
PSN-00073,G006,full_game,2025-06-05,34.99
PSN-00073,G017,full_game,2024-04-03,48.99
PSN-00073,G018,full_game,2024-08-26,30.0
