player_id,tier,historical_spend,sub_clv_12m,purchase_clv_12m,clv_12m,total_clv,clv_segment
PSN-00000,Essential,0.0,59.989356307581645,0.0,59.989356307581645,59.989356307581645,Medium ($50-150)
PSN-00001,Free,0.0,0.0,0.0,0.0,0.0,Minimal (<$10)
PSN-00002,Essential,0.0,4.3959464304471805,0.0,4.3959464304471805,4.3959464304471805,Minimal (<$10)
PSN-00003,Essential,0.0,0.004416737787770152,0.0,0.004416737787770152,0.004416737787770152,Minimal (<$10)
PSN-00004,Essential,114.96,59.98955018726452,219.93917543079644,279.928725618061,394.88872561806096,High ($150-500)
PSN-00005,Essential,12.5,59.988770134038596,0.0,59.988770134038596,72.48877013403859,Medium ($50-150)
PSN-00006,Free,0.0,0.0,0.0,0.0,0.0,Minimal (<$10)
PSN-00007,Free,0.0,0.0,0.0,0.0,0.0,Minimal (<$10)
PSN-00008,Extra,191.43,134.9882950283251,14.99990527233453,149.98820030065963,341.41820030065963,Medium ($50-150)
PSN-00009,Essential,9.99,59.98927761811739,0.0,59.98927761811739,69.9792776181174,Medium ($50-150)
PSN-00010,Essential,12.5,59.989103215937064,24.999813138843365,84.98891635478043,97.48891635478043,Medium ($50-150)
PSN-00011,Essential,0.0,1.9914693749322818,0.0,1.9914693749322818,1.9914693749322818,Minimal (<$10)
PSN-00012,Free,0.0,0.0,0.0,0.0,0.0,Minimal (<$10)
PSN-00013,Essential,34.99,0.010583028724948393,0.0,0.010583028724948393,35.000583028724954,Minimal (<$10)
PSN-00014,Essential,0.0,0.8224839134511716,0.0,0.8224839134511716,0.8224839134511716,Minimal (<$10)
PSN-00015,Essential,29.99,59.98901878672468,0.0,59.98901878672468,89.97901878672468,Medium ($50-150)
PSN-00016,Free,0.0,0.0,0.0,0.0,0.0,Minimal (<$10)
PSN-00017,Essential,307.33,59.989140410467,104.93924816364733,164.92838857411434,472.2583885741143,High ($150-500)
PSN-00018,Essential,34.99,59.98935752810212,69.97962526934978,129.9689827974519,164.9589827974519,Medium ($50-150)
PSN-00019,Essential,69.98,59.989531655191634,139.95945366278232,199.94898531797395,269.92898531797397,High ($150-500)
PSN-00020,Essential,0.0,59.98937818396652,0.0,59.98937818396652,59.98937818396652,Medium ($50-150)
PSN-00021,Essential,54.980000000000004,59.98912883498687,69.97949188091665,129.9686207159035,184.94862071590353,Medium ($50-150)
PSN-00022,Essential,74.98,59.98934824305281,99.95945699596231,159.94880523901512,234.9288052390151,High ($150-500)
PSN-00023,Free,0.0,0.0,0.0,0.0,0.0,Minimal (<$10)
PSN-00024,Essential,34.99,59.989092746338706,69.97947083171182,129.96856357805052,164.95856357805053,Medium ($50-150)
PSN-00025,Essential,0.0,59.98966614009365,0.0,59.98966614009365,59.98966614009365,Medium ($50-150)
PSN-00026,Essential,64.97,59.98897941269152,0.0,59.98897941269152,124.95897941269152,Medium ($50-150)
PSN-00027,Essential,209.93,59.98906525105667,129.9389876539615,189.92805290501818,399.8580529050182,High ($150-500)
PSN-00028,Premium,124.94999999999999,159.9886743576808,0.0,159.9886743576808,284.9386743576808,High ($150-500)
PSN-00029,Essential,0.0,59.98983963737385,0.0,59.98983963737385,59.98983963737385,Medium ($50-150)
PSN-00030,Essential,0.0,59.98985627979702,0.0,59.98985627979702,59.98985627979702,Medium ($50-150)
