player_id,tier,churn_probability,risk_tier,dlc_propensity,propensity_tier,clv_12m,clv_segment,action,max_intervention_budget
PSN-00000,Essential,1.0729995305204492e-05,Low Risk,0.0245430143820839,Low,59.989356307581645,Medium ($50-150),Nurture,6.0
PSN-00001,Free,0.0,N/A (Free),0.0903698342376019,Low,0.0,Minimal (<$10),Monitor,0.0
PSN-00002,Essential,0.9267220131614072,Critical,0.0112629533070074,Low,4.3959464304471805,Minimal (<$10),Monitor,0.44
PSN-00003,Essential,0.999926375432776,Critical,0.0131732838470701,Low,0.004416737787770152,Minimal (<$10),Monitor,0.0
PSN-00004,Essential,7.498128612814953e-06,Low Risk,0.6761505887182602,Very High,279.928725618061,High ($150-500),Upsell,27.99
PSN-00005,Essential,2.0501182887193385e-05,Low Risk,0.0995990465945469,Low,59.988770134038596,Medium ($50-150),Nurture,6.0
PSN-00006,Free,0.0,N/A (Free),0.0434488570924447,Low,0.0,Minimal (<$10),Monitor,0.0
PSN-00007,Free,0.0,N/A (Free),0.035714318806453,Low,0.0,Minimal (<$10),Monitor,0.0
PSN-00008,Extra,1.2630355396040507e-05,Low Risk,0.6753383823558013,Very High,149.98820030065963,Medium ($50-150),Upsell,15.0
PSN-00009,Essential,1.2041704994304309e-05,Low Risk,0.1512841472567331,Medium,59.98927761811739,Medium ($50-150),Nurture,6.0
PSN-00010,Essential,1.4948892531062233e-05,Low Risk,0.0604078190994704,Low,84.98891635478043,Medium ($50-150),Nurture,8.5
PSN-00011,Essential,0.9668033109696236,Critical,0.0133364514888152,Low,1.9914693749322818,Minimal (<$10),Monitor,0.2
PSN-00012,Free,0.0,N/A (Free),0.1255621386079983,Low,0.0,Minimal (<$10),Monitor,0.0
PSN-00013,Essential,0.9998235867857151,Critical,0.0532544985991478,Low,0.010583028724948393,Minimal (<$10),Monitor,0.0
PSN-00014,Essential,0.9862896497174334,Critical,0.0105610362899805,Low,0.8224839134511716,Minimal (<$10),Monitor,0.08
PSN-00015,Essential,1.6356280635422656e-05,Low Risk,0.8610993771259762,Very High,59.98901878672468,Medium ($50-150),Upsell,6.0
PSN-00016,Free,0.0,N/A (Free),0.066163220939394,Low,0.0,Minimal (<$10),Monitor,0.0
PSN-00017,Essential,1.4328880363368625e-05,Low Risk,0.9874851920958392,Very High,164.92838857411434,High ($150-500),Upsell,16.49
PSN-00018,Essential,1.0709649906354904e-05,Low Risk,0.0902415006840861,Low,129.9689827974519,Medium ($50-150),Nurture,13.0
PSN-00019,Essential,7.807047980722802e-06,Low Risk,0.0678628059669609,Low,199.94898531797395,High ($150-500),Nurture,19.99
